client_id,domain,feature_type,type_label,phishing_rate,n_train,n_test
0,banking,iscx,0,0.478,1200,300
1,banking,iscx,0,0.492,1200,300
2,banking,iscx,0,0.453,1200,300
3,banking,iscx,0,0.465,1200,300
4,healthcare,email,1,0.399,1200,300
5,healthcare,email,1,0.362,1200,300
6,healthcare,email,1,0.411,1200,300
7,healthcare,email,1,0.396,1200,300
8,government,iscx,2,0.384,1200,300
9,government,iscx,2,0.349,1200,300
10,government,iscx,2,0.387,1200,300
11,government,iscx,2,0.336,1200,300
12,sme,email,3,0.512,1200,300
13,sme,email,3,0.47,1200,300
14,mixed,mixed,4,0.446,1200,300
15,mixed,mixed,4,0.455,1200,300
